make,model,year,cylinders,displ,fuelType,VClass,mpg
113,4256,1993,8.0,2.6421347872938252,8,2,11
42,1682,1985,6.0,1.222375576084526,12,30,14
134,1234,1993,4.0,-0.7951769872128993,12,2,21
134,1234,1993,4.0,-0.7951769872128993,12,2,22
134,1234,1993,6.0,-0.19738363512477344,12,2,19
134,1234,1993,6.0,-0.19738363512477344,12,2,18
140,3364,1993,4.0,-0.9446253252349309,12,2,21
140,3364,1993,4.0,-0.9446253252349309,12,2,22
140,3364,1993,6.0,-0.3468319731468051,12,2,18
140,3364,1993,6.0,-0.3468319731468051,12,2,20
141,520,1993,5.0,-0.645728649190868,12,2,21
141,520,1993,5.0,-0.645728649190868,12,2,21
32,1360,1985,4.0,-0.7951769872128993,8,28,21
42,1682,1985,6.0,1.222375576084526,12,30,16
141,607,1993,4.0,-0.7204528182018839,12,2,19
141,607,1993,4.0,-0.7204528182018839,12,2,20
141,619,1993,6.0,-0.2721078041357893,12,2,18
20,2774,1993,6.0,0.4004097169633524,12,1,20
20,3357,1993,6.0,0.4004097169633524,8,1,18
20,3357,1993,6.0,0.4004097169633524,12,1,20
20,3866,1993,8.0,1.820168928172652,12,1,17
24,1639,1993,8.0,1.222375576084526,8,1,17
24,2147,1993,8.0,1.820168928172652,12,1,17
25,1266,1993,6.0,0.7740305620184312,12,1,19
42,1682,1985,8.0,1.2970997450955415,12,30,12
25,1266,1993,8.0,1.2970997450955415,12,1,18
25,1266,1993,8.0,1.820168928172652,12,1,17
26,1450,1993,6.0,0.02678887190827367,12,1,21
26,1450,1993,6.0,0.1762372099303053,12,1,19
26,2133,1993,6.0,0.02678887190827367,12,1,20
26,2133,1993,6.0,0.4004097169633524,12,1,19
32,2580,1993,6.0,0.02678887190827367,12,1,21
32,2580,1993,6.0,0.1762372099303053,12,1,19
34,4843,1993,6.0,0.02678887190827367,12,1,21
34,4843,1993,6.0,0.1762372099303053,12,1,19
42,1682,1985,8.0,1.8948930971836675,12,30,11
42,2733,1993,8.0,0.9982030690514783,12,1,19
73,1454,1993,6.0,0.4004097169633524,12,1,18
87,2428,1993,8.0,0.9982030690514783,12,1,19
73,4599,1993,8.0,0.9982030690514783,12,1,19
86,137,1993,6.0,0.1762372099303053,1,1,19
86,140,1993,6.0,-0.04793529710274182,8,1,15
86,258,1993,8.0,0.6993063930074157,8,1,14
86,323,1993,8.0,1.2970997450955415,8,1,13
93,1838,1993,6.0,0.4004097169633524,12,1,20
93,3267,1993,6.0,0.4004097169633524,12,1,20
43,2221,1985,6.0,0.7740305620184312,12,30,15
93,3267,1993,6.0,0.4004097169633524,8,1,18
104,1025,1993,6.0,0.4004097169633524,8,1,18
104,1025,1993,6.0,0.4004097169633524,12,1,20
113,4261,1993,8.0,2.6421347872938252,8,1,11
119,551,1993,4.0,-0.7204528182018839,12,1,18
119,551,1993,4.0,-0.7204528182018839,12,1,18
119,551,1993,4.0,-0.7204528182018839,12,1,19
119,551,1993,4.0,-0.7204528182018839,12,1,20
6,5,1993,6.0,-0.3468319731468051,8,13,18
11,336,1993,6.0,-0.5710044801798522,8,13,19
43,2221,1985,6.0,0.7740305620184312,12,30,16
25,1311,1993,4.0,-0.7951769872128993,12,13,23
25,1311,1993,6.0,-0.12265946611375764,12,13,21
23,5080,1993,6.0,-0.19738363512477344,8,13,15
42,1928,1993,4.0,-1.019349494245947,12,13,25
42,1928,1993,4.0,-1.019349494245947,12,13,28
50,795,1993,4.0,-0.7951769872128993,12,13,21
50,795,1993,4.0,-0.7951769872128993,12,13,22
87,4609,1993,4.0,-1.019349494245947,12,13,25
87,4609,1993,4.0,-1.019349494245947,12,13,28
122,4067,1993,4.0,-1.019349494245947,12,13,26
43,2221,1985,6.0,0.7740305620184312,12,30,15
122,4067,1993,4.0,-1.019349494245947,12,13,24
122,4067,1993,4.0,-1.019349494245947,12,13,28
122,4067,1993,4.0,-1.019349494245947,12,13,25
127,2789,1993,4.0,-0.7951769872128993,12,13,22
127,2789,1993,4.0,-0.7951769872128993,12,13,23
127,2791,1993,4.0,-0.7951769872128993,12,13,21
127,2791,1993,4.0,-0.7951769872128993,12,13,21
127,2793,1993,4.0,-0.7951769872128993,8,13,18
127,2824,1993,4.0,-1.0940736632569625,12,13,22
127,2824,1993,4.0,-1.0940736632569625,12,13,24
43,2221,1985,8.0,1.2970997450955415,12,30,12
134,1531,1993,4.0,-1.0940736632569625,12,13,25
134,1531,1993,4.0,-1.0940736632569625,12,13,26
20,1349,1993,4.0,-0.7951769872128993,12,4,21
20,1349,1993,6.0,0.02678887190827367,12,4,19
20,1349,1993,6.0,0.02678887190827367,12,4,21
34,4438,1993,4.0,-1.0940736632569625,12,4,20
34,4438,1993,4.0,-1.0940736632569625,12,4,23
34,4438,1993,4.0,-1.0940736632569625,12,4,21
34,4438,1993,4.0,-1.0940736632569625,12,4,23
34,4438,1993,4.0,-0.645728649190868,12,4,19
43,2221,1985,8.0,1.2970997450955415,12,30,14
34,4438,1993,4.0,-0.645728649190868,12,4,20
34,4438,1993,4.0,-0.645728649190868,12,4,19
34,4438,1993,4.0,-0.645728649190868,12,4,21
42,4529,1993,6.0,-0.19738363512477344,12,4,21
42,4529,1993,6.0,0.4004097169633524,12,4,20
87,4077,1993,6.0,-0.19738363512477344,12,4,21
87,4077,1993,6.0,0.4004097169633524,12,4,20
